Solution,Clauses Satisfied,Function Evaluations,Time (seconds)
"[True, False, False, True, False, True, False, False, False, False, False, False, True, True, True, False, True, False, False, True]",91,453,0.0019931793212890625
"[False, True, True, True, False, False, False, True, True, True, True, False, False, True, True, False, True, True, True, True]",91,130,0.0019936561584472656
"[True, False, False, True, False, False, False, False, False, True, False, False, True, True, True, False, True, False, False, True]",91,236,0.0009965896606445312
"[True, False, False, True, False, False, False, True, False, True, False, False, True, True, True, False, True, False, False, True]",91,722,0.0019931793212890625
"[True, False, False, False, False, True, False, False, True, False, False, False, False, True, True, False, True, False, False, True]",91,302,0.0019931793212890625
"[True, False, False, True, False, False, False, False, False, True, False, False, True, True, True, False, True, False, False, True]",91,181,0.0009965896606445312
"[True, False, False, True, False, True, False, False, False, True, False, False, True, True, True, False, True, False, False, True]",91,552,0.0009963512420654297
"[True, False, False, False, False, True, False, False, True, False, False, False, False, True, True, False, True, False, False, True]",91,114,0.0009965896606445312
"[True, False, False, True, False, False, False, False, False, True, False, False, True, True, True, False, True, False, False, True]",91,793,0.0009965896606445312
"[False, True, True, True, False, False, False, True, True, True, True, False, False, True, True, False, True, True, True, True]",91,288,0.0009965896606445312
"[True, False, False, True, False, False, False, True, False, True, False, False, True, True, True, False, True, False, False, True]",91,722,0.0009970664978027344
"[True, False, False, False, False, True, False, False, False, False, False, False, True, True, True, False, True, False, False, True]",91,181,0.0009963512420654297
"[False, True, True, True, False, False, False, True, True, True, True, False, False, True, True, False, True, True, True, True]",91,508,0.0009965896606445312
"[True, False, False, True, False, False, False, False, False, True, False, False, True, True, True, False, True, False, False, True]",91,377,0.0009965896606445312
"[True, False, False, False, False, True, False, False, True, False, False, False, True, True, True, False, True, False, False, True]",91,207,0.0019931793212890625
"[False, True, True, True, False, False, False, True, True, True, True, False, False, True, True, False, True, True, True, True]",91,1381,0.0009965896606445312
"[True, False, False, True, False, True, False, False, False, True, False, False, True, True, True, False, True, False, False, True]",91,614,0.0009965896606445312
"[False, True, True, True, False, False, False, True, True, True, True, False, False, True, True, False, True, True, True, True]",91,99,0.0009975433349609375
"[True, False, False, False, False, True, False, False, True, False, False, False, False, True, True, False, True, False, False, True]",91,246,0.0019931793212890625
"[True, False, False, True, False, False, False, False, False, True, False, False, True, True, True, False, True, False, False, True]",91,186,0.0009963512420654297
"[False, True, True, True, False, False, False, True, True, True, True, False, False, True, True, False, True, True, True, True]",91,3842,0.0009970664978027344
"[True, False, False, True, False, True, False, False, False, True, False, False, True, True, True, False, True, False, False, True]",91,149,0.0009965896606445312
"[True, False, False, False, False, True, False, False, True, False, False, False, False, True, True, False, True, False, False, True]",91,1403,0.00299072265625
"[True, False, False, True, False, True, False, False, False, False, False, False, True, True, True, False, True, False, False, True]",91,2406,0.0009965896606445312
"[True, False, False, False, False, True, False, False, True, False, False, False, False, True, True, False, True, False, False, True]",91,175,0.0009965896606445312
"[False, True, True, True, False, False, False, True, True, True, True, False, False, True, True, False, True, True, True, True]",91,768,0.0009965896606445312
"[True, False, False, True, False, False, False, False, False, True, False, False, True, True, True, False, True, False, False, True]",91,506,0.001993417739868164
"[True, False, False, True, False, True, False, False, False, True, False, False, True, True, True, False, True, False, False, True]",91,775,0.0009961128234863281
"[True, False, False, True, False, False, False, True, False, True, False, False, True, True, True, False, True, False, False, True]",91,233,0.0009980201721191406
"[True, False, False, False, False, True, False, False, True, False, False, False, False, True, True, False, True, False, False, True]",91,476,0.0009968280792236328
